SampleID,lat,lon,pH,temp,sampletype,mill_lat,mill_lon,dist_from_geneva
UL_AS1,40.217596,-111.732243,8.8,18.4,Sediment,40.32128720408934,-111.76412270758757,11856.206869985908
UL_AS2,40.217596,-111.732243,8.8,18.4,Sediment,40.32128720408934,-111.76412270758757,11856.206869985908
UL_AW1,40.217596,-111.732243,8.8,18.4,Water,40.32128720408934,-111.76412270758757,11856.206869985908
UL_AW2,40.217596,-111.732243,8.8,18.4,Water,40.32128720408934,-111.76412270758757,11856.206869985908
UL_BS1,40.3151505,-111.7676594,8.77,19.2,Sediment,40.32128720408934,-111.76412270758757,746.1791708793819
UL_BS2,40.3151505,-111.7676594,8.77,19.2,Sediment,40.32128720408934,-111.76412270758757,746.1791708793819
UL_BW1,40.3151505,-111.7676594,8.77,19.2,Water,40.32128720408934,-111.76412270758757,746.1791708793819
UL_BW2,40.3151505,-111.7676594,8.77,19.2,Water,40.32128720408934,-111.76412270758757,746.1791708793819
UL_CS1,40.3480969,-111.9004931,8.43,19.8,Sediment,40.32128720408934,-111.76412270758757,11950.532739127771
UL_CS2,40.3480969,-111.9004931,8.43,19.8,Sediment,40.32128720408934,-111.76412270758757,11950.532739127771
UL_CW1,40.3480969,-111.9004931,8.43,19.8,Water,40.32128720408934,-111.76412270758757,11950.532739127771
UL_CW2,40.3480969,-111.9004931,8.43,19.8,Water,40.32128720408934,-111.76412270758757,11950.532739127771
UL_DS1,40.268851,-111.8516618,8.53,20.2,Sediment,40.32128720408934,-111.76412270758757,9450.718027108964
UL_DS2,40.268851,-111.8516618,8.53,20.2,Sediment,40.32128720408934,-111.76412270758757,9450.718027108964
UL_DW1,40.268851,-111.8516618,8.53,20.2,Water,40.32128720408934,-111.76412270758757,9450.718027108964
UL_DW2,40.268851,-111.8516618,8.53,20.2,Water,40.32128720408934,-111.76412270758757,9450.718027108964
UL_ES1,40.1976025,-111.8861074,8.52,20.3,Sediment,40.32128720408934,-111.76412270758757,17232.452547696274
UL_ES2,40.1976025,-111.8861074,8.52,20.3,Sediment,40.32128720408934,-111.76412270758757,17232.452547696274
UL_EW1,40.1976025,-111.8861074,8.52,20.3,Water,40.32128720408934,-111.76412270758757,17232.452547696274
UL_EW2,40.1976025,-111.8861074,8.52,20.3,Water,40.32128720408934,-111.76412270758757,17232.452547696274
UL_FS1,40.1271011,-111.9402625,8.67,20.5,Sediment,40.32128720408934,-111.76412270758757,26294.713866687373
UL_FS2,40.1271011,-111.9402625,8.67,20.5,Sediment,40.32128720408934,-111.76412270758757,26294.713866687373
UL_FW1,40.1271011,-111.9402625,8.67,20.5,Water,40.32128720408934,-111.76412270758757,26294.713866687373
UL_FW2,40.1271011,-111.9402625,8.67,20.5,Water,40.32128720408934,-111.76412270758757,26294.713866687373
UL_GS1,40.0445898,-111.8797734,8.85,20.23,Sediment,40.32128720408934,-111.76412270758757,32334.076628107752
UL_GS2,40.0445898,-111.8797734,8.85,20.23,Sediment,40.32128720408934,-111.76412270758757,32334.076628107752
UL_GW1,40.0445898,-111.8797734,8.85,20.23,Water,40.32128720408934,-111.76412270758757,32334.076628107752
UL_GW2,40.0445898,-111.8797734,8.85,20.23,Water,40.32128720408934,-111.76412270758757,32334.076628107752
UL_HS1,40.0892878,-111.8637733,8.02,16.7,Sediment,40.32128720408934,-111.76412270758757,27180.185410945458
UL_HS2,40.0892878,-111.8637733,8.02,16.7,Sediment,40.32128720408934,-111.76412270758757,27180.185410945458
UL_HW1,40.0892878,-111.8637733,8.02,16.7,Water,40.32128720408934,-111.76412270758757,27180.185410945458
UL_HW2,40.0892878,-111.8637733,8.02,16.7,Water,40.32128720408934,-111.76412270758757,27180.185410945458
UL_IS1,40.1474495,-111.8067412,8.21,18.3,Sediment,40.32128720408934,-111.76412270758757,19687.534864798414
UL_IS2,40.1474495,-111.8067412,8.21,18.3,Sediment,40.32128720408934,-111.76412270758757,19687.534864798414
UL_IW1,40.1474495,-111.8067412,8.21,18.3,Water,40.32128720408934,-111.76412270758757,19687.534864798414
UL_IW2,40.1474495,-111.8067412,8.21,18.3,Water,40.32128720408934,-111.76412270758757,19687.534864798414
UL_JS1,40.181621,-111.731252,8.59,18.6,Sediment,40.32128720408934,-111.76412270758757,15796.399638701643
UL_JS2,40.181621,-111.731252,8.59,18.6,Sediment,40.32128720408934,-111.76412270758757,15796.399638701643
UL_JW1,40.181621,-111.731252,8.59,18.6,Water,40.32128720408934,-111.76412270758757,15796.399638701643
UL_JW2,40.181621,-111.731252,8.59,18.6,Water,40.32128720408934,-111.76412270758757,15796.399638701643
UL_KS1,40.1715997,-111.7113474,8.37,19.3,Sediment,40.32128720408934,-111.76412270758757,17255.950576607866
UL_KS2,40.1715997,-111.7113474,8.37,19.3,Sediment,40.32128720408934,-111.76412270758757,17255.950576607866
UL_KW1,40.1715997,-111.7113474,8.37,19.3,Water,40.32128720408934,-111.76412270758757,17255.950576607866
UL_KW2,40.1715997,-111.7113474,8.37,19.3,Water,40.32128720408934,-111.76412270758757,17255.950576607866
UL_LS1,40.144908,-111.801487,8.34,16.8,Sediment,40.32128720408934,-111.76412270758757,19889.5514687252
UL_LS2,40.144908,-111.801487,8.34,16.8,Sediment,40.32128720408934,-111.76412270758757,19889.5514687252
UL_LW1,40.144908,-111.801487,8.34,16.8,Water,40.32128720408934,-111.76412270758757,19889.5514687252
UL_LW2,40.144908,-111.801487,8.34,16.8,Water,40.32128720408934,-111.76412270758757,19889.5514687252
